,0
47,"CORONAVIRUS IN SPAIN UPDATE: The regional government of Madrid is planning to set up a second makeshift morgue, which could start receiving coffins on Monday. "
48,".@AOC, who urged New Yorkers to patronize Chinese restaurants as the Coronavirus began spreading, attacked the federal government for not outfitting Queens hospitals without enough PPE, ventilators "
49,Shame on china government instead of paying to victims who died because of coronavirus they are closing border for foreigners wish EU would have done same we wont be suffering like this CHINA IS RESPONSIBLE FOR MISHANDLING CORONAVIRUS YOU MURDERED DR LEE 
50,To call coronavirus the Chinese virus is racist. To ask the Chinese government to ban live food markets is reasonable and fortunately they are moving in that direction. 
51,Real Madrid to donate healthcare equipment to local city government to help tackle coronavirus #realmadrid #COVID19 #StayAtHome
52,"The Spanish government has now closed airports and seaports to all but residents, with some exceptions such as for diplomatic staff. The move comes after the closure last week of land borders in a bid to slow the spread of the coronavirus "
53,?쏷racking entire populations to combat the pandemic now could open the doors to more invasive forms of government snooping later.??
54,Great casserole against the social communism and the government of Pedro Sanchez and his vice-president @PabloIglesias for the inefficient management of the coronavirus crisis #PodemosPandemia #madridencuarentena
55,"https://commonslibrary.parliament.uk/social-policy/health/coronavirus-bill-what-is-the-sunset-clause-provision/ HOC library explains what a sunset clause is. Of course the emergency Coronavirus Bill must have one, but not after 2 years! That's way too long for the government to hold onto extreme powers. @BremainInSpain"
56,"David Davis, of all people, is planning an amendment to the government's Coronavirus emergency measures bill - to reduce new powers from 2 years to 1. Are Tory backbenchers starting to distance themselves from their leader? "
57,Some good and practical steps announced by government today. More is promised and more is needed. Let?셲 see what tomorrow holds for our people and our sector. #IndependentMusic #music #coronavirus https://is.gd/mNvL2T
58,Can?셳 get on Facebook anymore. Too many baby boomers posting about how the corona virus is a government conspiracy to take control and that no one needs to follow the recommendations. These people just have no idea what?셲 about to hit them.
59,"Having explained at length why banning mass gatherings was pointless in the UK war on the coronavirus, government make massive U-turn &amp; follow the lead of just about every other country, &amp; sport. "
60,"As coronavirus cases continue to climb in Spain, Prime Minister Pedro S찼nchez said his government will inject ??bn into the health system and transfer a further ??.8bn to regional authorities to help them shore up their healthcare services. "
61,"With coronavirus, the government must extend the Brexit transition period https://www.theguardian.com/commentisfree/2020/mar/09/coronavirus-government-extend-brexit-transition-period?CMP=Share_AndroidApp_Tweet Makes perfect sense, so expect the government to reject the idea out of hand."
62,"Trump is being ridiculous. I don?셳 blame him for coronavirus; it?셲 a virus, they happen, and that?셲 just that. BUT I do hold him responsible for the federal government?셲 readiness and response. That?셲 entirely fair and criticism is perfectly valid."
63,"https://uk.finance.yahoo.com/news/bcc-coronavirus-predicted-to-further-weaken-uk-economic-growth-in-tandem-with-brexit-060006679.html Coronavirus or Brexit alone would be damaging to UK economy, but add them together ........."
64,So the quarantine has started in Madrid since Saturday. The streets are practically empty. The coronavirus cases upped to 4665 from around 2000 since Friday evening. Imagine the numbers without the quarantine... I hope that the virus growth rate will start slowing in a week...
65,"First downwards reviews come from the OECD. From a previous 2.9% GDP growth for 2020 a new moderate scenario is set on 2.4%, and an adverse scenario down to 1.5%, and leaves it all to the confirmation on the #coronavirus peaking at the end of Q1. @SantanderAM"
66,"CoViD-19 update: the LAC2020 organization is closely monitoring the situation. The conference, as of yet, is still set to go on the assigned dates. Should any changes arise, we will notify you. Visit https://lac2020.cchs.csic.es/covid-19-update-for-spain-and-the-madrid-area/ for more information. #CoViD19 #coronavirus #coronadvice"
67,It has been brought to my attention that I have made many aggressive tweets about the COVIC-19 (corona) virus. I do not care about this information.
68,"Coronavirus shows a certain paradox in governance structures. Look at China. On the one hand a regime that restricts freedom, promotes fear and blocks information to flow bottom up. On the other hand it can successfully impose draconian measures and mobilize enormous resources."
69,PLEASE WATCH THIS! The misinformation on the coronavirus is probably affecting more lives than the virus itself. Educate yourselves and stop letting the media cause you a lot of unwarranted fear. 
70,How do you adapt your IT infrastructure for #remote workforce? IBM #CIO @fletcherprevin in will share practical advice for #WFH working from home companies . Join the Think Leadership Livestream on 3/31 at 1pm ET (7pm hora local):
71,Another interesting opportunity to learn about #brand management in the #coronavirus crisis. @Orioliglesias will be talking on this topic during the open #webinar next Tuesday 31st. Join it here: https://sforce.co/3aoOw26 #branding #marketing #covid19 #communication pic.twitter.com/UpmHimGdSB
72,Germany tries to halt U.S. interest in firm working on coronavirus vaccine | Article [AMP] | Reuters 
73,Has anyone speculated on the impact of a potential US #coronavirus outbreak on the #2020Elections ? I?셫 thinking in terms of turnout but could also be politicized by certain interests. Other ideas? #Covid_19 #COVID19 #mondaythoughts
74,Islanders arena construction at Belmont Park paused due to coronavirus 
75,BBC News - SNP urges UK government to 'hit pause' on Brexit due to coronavirus https://www.bbc.co.uk/news/uk-scotland-scotland-politics-52079106 There can be absolutely no justification for proceeding with Brexit during the current coronavirus crisis.
76,Maxine Waters outlines the next Coronavirus stimulus: ??Help for renters ??Help for landlords ??Help with gasoline ??Help for credit cards ??Help for your credit score ??Help for concessionaires ??Help for minorities ??Help for caterers 
77,"This photo is called ""Trial of the landlords after coronavirus outbreak"". #CoronavirusOutbreak #coronavirus #CoronaLockdown"
78,When you test the whole population you find that half of the positives show no symptoms. This is why I have been saying that Spain probably has a million or more infected https://english.alarabiya.net/en/features/2020/03/25/Coronavirus-Iceland-s-mass-testing-finds-half-of-carriers-show-no-symptoms and when we get good tests we will find out the truth.
79,A huge difference between the Republic of China on Taiwan and the illegitimate CCP regime on the Mainland.
80,"?쏯ow, the decrease in landline users may be explained by the nationwide quarantine in February. That's when small businesses were shut down. But the closure of 21 million cell phones can't be explained in this way.??
234,2020-03-24 21:44:07+00:00,How 3D Printing Saved Italian Lives Amid Covid-19 Outbreak via @DesignSparkRS 3D Printing technology has helped to save lives during the Covid-19 pandemic. #COVID??9 #COVID19 #coronavirus #coronavirusitalIa http://mtr.cool/uzqsqitufj
235,2020-03-24 21:37:58+00:00,Madrid?셲 coronavirus fighter says controls will have impact within days 
236,2020-03-24 20:46:22+00:00,Not even five minutes anymore"
81,"The Spanish government has now closed airports and seaports to all but residents, with some exceptions such as for diplomatic staff. The move comes after the closure last week of land borders in a bid to slow the spread of the coronavirus "
82,"Coronavirus, the cure comes from Holland. ?쏻e have detected antibody??"
83,"Qatar bans arrivals from India, China, Egypt, Lebanon, Pakistan, Syria, Iran, Iraq, Sri Lanka, Nepal, Philippines, Bangladesh, Thailand, and South Korea due to coronavirus."
84,The most sensible public figure in England at this moment in time is a German. #Coronvirus #sic #coronavirus #COVID19
85,"Woman in Barcelona tests positive to coronavirus, the first confirmed case on mainland Spain "
86,China just banned the trade and consumption of wild animals. Experts think the coronavirus jumped from live animals to people at a market. https://www.businessinsider.com/china-bans-wildlife-trade-consumption-coronavirus-2020-2?utmSource=twitter&amp;utmContent=referral&amp;utmTerm=topbar&amp;referrer=twitter via @businessinsider
87,"Denmark tight measures, Sweden lose measures, Argentina tight measures, Brazil lose measures https://apnews.com/b21a296383694c6726d03e027134daf1 we will have quite a few A/B real life tests"
88,"Could China please learn from this? The way of life in of some people in Wuhan has killed 1000s, killed the global economy & has 1/3 of the global population in lockdown. Look forward to their apology to us all and compensation #responsibility #China"
89,"De Blasio on Feb. 14: The Coronavirus ""should not stop you from going about your life, should not stop you from going to Chinatown and going out to eat. I?셫 going to do that today myself."" "
90,"Don Rafael knew something was wrong. A number of residents at his senior home in Madrid had died. Staff workers were also on sick leave, and no one was cleaning the rooms of residents showing symptoms of the coronavirus: ""My life was in danger"" "
91,"My travel to CROATIA, HUNGARY, SLOVAKIA, SLOVENIA, AUSTRIA, CZECH REPUBLIC has been cancelled due to the Coronavirus. Refunds aren't easy either. You have to wait for almost 3 weeks have your money back. Fucc my life! ?뮅 This is heartbreaking! ?뮅?좑툘 "
92,I can?셳 believe that for the rest of my life whenever I think of my Erasmus all I?셫 going to associate it with is coronavirus and tiktok
93,also life update: I?셫 being kicked out of Spain bc of the coronavirus and given less than a weeks notice to pack and get a ticket home
94,"Coronavirus update: - Spanish army has requested international assistance to fight the pandemic - Cabinet approves extension to lockdown - Government releases first ??0bn tranche of a ??00bn guarantee scheme to bring liquidity to small, medium businesses "
95,UK manufacturing slid before coronavirus crisis escalated: survey https://reut.rs/2WhqVMs Brexit was badly damaging UK manufacturing even before the current crisis. The coronavirus pandemic is only going to make things worse.
96,"Spain is not the only country to buy sadly substandard virus equipment from China. But who was the Spanish distributor that acquired deficient test kits - and how much was paid? PM S찼nchez talked about ""a super aggressive market."" How about opaque?"
97,China just banned the trade and consumption of wild animals. Experts think the coronavirus jumped from live animals to people at a market. https://www.businessinsider.com/china-bans-wildlife-trade-consumption-coronavirus-2020-2?utmSource=twitter&amp;utmContent=referral&amp;utmTerm=topbar&amp;referrer=twitter via @businessinsider
98,Another interesting opportunity to learn about #brand management in the #coronavirus crisis. @Orioliglesias will be talking on this topic during the open #webinar next Tuesday 31st. Join it here: https://sforce.co/3aoOw26 #branding #marketing #covid19 #communication pic.twitter.com/UpmHimGdSB
99,To call coronavirus the Chinese virus is racist. To ask the Chinese government to ban live food markets is reasonable and fortunately they are moving in that direction. 
100,"My thoughts about #Coronavirus . Having visited a supermarket here in Spain today I realised that the country is in a complete chaos. There was this weird, apocalypse atmosphere in the city. When Spaniards are normally loud and chatty, it felt very quiet today indeed... (1/4)"
101,Corona Virus everywhere here. Never stop hearing ambulances. The supermarkets were half empty. Kids and teenagers not in school but the teachers and adults still have to go.
102,Stock market crash during #coronavirus crisis cracks airlines this week. 
103,"@davidicke CNN)Amid fears stoked by the coronavirus, ""Contagion"" -- a 2011 movie about a pandemic with potentially eerie similarities to recent events -- has been climbing up the iTunes rental charts, reflecting how people often use fiction as a means to process reality."
104,"i hope this works: so my parents may lose their jobs due to the corona virus and companies in my country firing people cus they rather not pay them, so i?셫 trying to help by selling my artwork. pls share this, it?셪l mean a lot. thank you. ?? sketch ??5 full portrait (DM) "
105,"Today @AlbinanaMaria and I were meant to get married in Spain. But coronavirus changed everything. Postponing it seemed the right thing to do. Luckily, we are at least together during this surreal lockdown ... though sleeping in separate rooms ... #fml #CoronavirusOutbreak"
106,"Spanish colognes (like the Turkish colognes) are usually over 60% ABV - does that mean they would kill corona virus? If so, I propose the Turkish approach of offering people cologne on their hands on entering your home / business etc. "
107,There is SO MUCH for @PhilKitro &amp; @sidlowe to talk about in tomorrow's bonus #tsfp ?눎?눡?쏜윃숋툘 ?묕툘 One of Atletico Madrid's great nights ?묕툘 Valencia out behind closed doors ?묕툘 what the coronavirus crisis means for Spanish football Don't miss it. Join us! 燧뉛툘 
108,"?쏧n the environment of a pandemic, #sustainabletransport ??walking and cycling ??is not only a great way to maintain #mobility but to maintain physical distance.??https://www.foreground.com.au/planning/what-can-the-coronavirus-teach-us-about-healthy-cities/ #COVID19 @ForegroundNews @the_AUO"
109,An updated guide to the coronavirus drugs and vaccines in development: ?뵺#Remdesivir - phase III ?뵺#Ritonavir+#Danoprevir - phase I ?뵺mRNA-1273(#moderna vaccine) phase I ?뵺Ad5-nCoV vaccine - phase I ?뵺8 more vaccines - preclinical ... and many others?∽툘
110,"First downwards reviews come from the OECD. From a previous 2.9% GDP growth for 2020 a new moderate scenario is set on 2.4%, and an adverse scenario down to 1.5%, and leaves it all to the confirmation on the #coronavirus peaking at the end of Q1. @SantanderAM"
111,"My travel to CROATIA, HUNGARY, SLOVAKIA, SLOVENIA, AUSTRIA, CZECH REPUBLIC has been cancelled due to the Coronavirus. Refunds aren't easy either. You have to wait for almost 3 weeks have your money back. Fucc my life! ?뮅 This is heartbreaking! ?뮅?좑툘 "
112,"Has humanity ever wondered about the coronavirus? Where does this virus come from or who did it and for what purpose? Do the rulers of all countries tell the whole truth about this coronavirus? With all the money that has been spent, has anyone anticipated this CORONAVIRUS?"
113,"Te respeto, no tengo la verdad absoluta 짬 However, since we observed all notable SARS-CoV-2 features, including the optimized RBD and polybasic cleavage site, in related coronaviruses in nature, we do not believe that any type of laboratory-based scenario is plausible. 쨩 science"
114,New study places pangolin at centre of Covid-19 pandemic
115,#Duolingo leans into #coronavirus #CoronavirusESP #YoMeQuedoEnMiCasa
116,Ya tengo mi outfit LIKE THE CORONAVIRUS! #vamosamorirtodos #CoronavirusESP
117,"If anyone else is getting sick of hearing about the corona virus, there?셲 an option to mute words from your timeline! I just don?셳 want to let it consume me... May help someone else so here?셲 it ?ㅿ툘 "
118,"Could China please learn from this? The way of life in of some people in Wuhan has killed 1000s, killed the global economy & has 1/3 of the global population in lockdown. Look forward to their apology to us all and compensation #responsibility #China"
119,When you test the whole population you find that half of the positives show no symptoms. This is why I have been saying that Spain probably has a million or more infected https://english.alarabiya.net/en/features/2020/03/25/Coronavirus-Iceland-s-mass-testing-finds-half-of-carriers-show-no-symptoms and when we get good tests we will find out the truth.
120,"Spanish Congress has voted to extend the state of alarm, which has confined the population to their homes since March 15 in a bid to slow the spread of the coronavirus, until April 12: ""Either we stop the country, or we will end up with no country"" "
121,?쏷racking entire populations to combat the pandemic now could open the doors to more invasive forms of government snooping later.??
122,"States, feds try to end scourge of coronavirus price-gouging "
123,"?쏷he double whammy of the coronavirus pandemic and the collapse in oil prices have managed to create in two short weeks what a concerted American sanctions campaign could not achieve, which is a potential knockout blow to the Venezuelan legal economy??"
124,"That's the result of @airbnb_es cancellation policy to face the coronavirus crisis... hosts making profits with all this mess!! If @Airbnb don't let guests cancel our bookings with more flexibility, some host will take advantage of it. #CoronavirusESP #YoMeQuedoEnCasa #COVID??9"
125,"The enormous differences between Covid-19 fatality rates in different countries raise questions about how countries are tracking their own coronavirus outbreaks, with epidemiology experts warning that governments aren?셳 counting deaths properly "
126,"What a strong, powerful and beautiful cover! V챠a @NewYorker #CODVID19 #Covid_19 #EnCuarentena #QuedateEnCasa #coronavirus "
127,Coronavirus numbers: Spain and the World. A very different foresight &amp; reaction to a terrible pandemic. @sanidadgob @FECYT_Ciencia @SaludISCIII @EU_H2020 @embl @csic @usal @NIH @elpais_espana @elmundoes @abcespana @La_SER @BBCNews @cnni (today Spain accumulates 6600 deaths)?삦
128,BBC News - SNP urges UK government to 'hit pause' on Brexit due to coronavirus https://www.bbc.co.uk/news/uk-scotland-scotland-politics-52079106 There can be absolutely no justification for proceeding with Brexit during the current coronavirus crisis.
129,Fuck you ?삇?뮞?뤌?뮞?뤌?뮞?뤌?┥?┥?┥?뮙?뼍?뤌?쬊 #COVID??9 #Coronavid19 #CuarentenaPorLaVida #COVID19 #mequedoencasa #QuedateEnCasa #YoMeQuedoEnCasa #covid #coronavirus #coronavirusespa챰a #sisepuede #fuckcovid19 #aix챵tamb챕passar횪 #stayathome #stayhome #istayhome pic.twitter.com/eqNBbk5t6z
130,Maxine Waters outlines the next Coronavirus stimulus: ??Help for renters ??Help for landlords ??Help with gasoline ??Help for credit cards ??Help for your credit score ??Help for concessionaires ??Help for minorities ??Help for caterers 
131,"@davidicke CNN)Amid fears stoked by the coronavirus, ""Contagion"" -- a 2011 movie about a pandemic with potentially eerie similarities to recent events -- has been climbing up the iTunes rental charts, reflecting how people often use fiction as a means to process reality."
132,".@RepSchakowsky: ""I am deeply disturbed that my Republican colleagues are trying to exclude local Planned Parenthood clinics from the??Coronavirus stimulus. Adds a future bill will be needed for ?쐕ndocumented people??"
133,7 different types of human coronavirus. 
134,"i hope this works: so my parents may lose their jobs due to the corona virus and companies in my country firing people cus they rather not pay them, so i?셫 trying to help by selling my artwork. pls share this, it?셪l mean a lot. thank you. ?? sketch ??5 full portrait (DM) "
135,"Researchers from 10 different institutions, including @Cambridge_Uni, @Harvard and @warwickuni, are collecting survey data on how citizens around the world prepare and cope with coronavirus. It?셲 short and available in dozens of languages ?몙?뤌 "
136,Great casserole against the social communism and the government of Pedro Sanchez and his vice-president @PabloIglesias for the inefficient management of the coronavirus crisis #PodemosPandemia #madridencuarentena
137,REAL Convincing Boomer Parents to Take the Coronavirus Seriously https://www.newyorker.com/culture/culture-desk/convincing-boomer-parents-to-take-the-coronavirus-seriously via @NewYorker
138,?뫆?뤋?랅윊삽윊ゐ윆?let's go team! ?뱧@SlackHQ @whereby @airtable @MiroHQ ------------------------------- #Coronavirus #Homeoffice #CuarentenaCoronavirus #YoMeQuedoEnMiCasa #quedatencasa #COVID19 #IStayAtHome #idricaworksfromhome
139,UK manufacturing slid before coronavirus crisis escalated: survey https://reut.rs/2WhqVMs Brexit was badly damaging UK manufacturing even before the current crisis. The coronavirus pandemic is only going to make things worse.
140,"#Education There is little doubt that #Coronavirus will bring considerable changes in our habits. One of these could be a boom in online teaching, especially in a world where parents feel that while efficient, it is also the safest way for their children to learn."
141,"Arsenal manager Mikel Arteta has tested positive for the coronavirus, the club has confirmed. #Covid_19 #mikelarteta #arsenal #YoMeQuedoEnCasa #cuarentena #??漠?彎_碼?魔??? #??邈?卍_??邈??碼 @Arsenal"
142,"Republican leaders are intentionally being racist. This is the House majority leader, making the intentional choice to call it the ?쏞hinese??coronavirus. A day before, a different Republican congressman called it the ?쏻uhan flu??(not only racist, also downplays seriousness.) "
143,Re. that Corona Beer/Coronavirus story: I knew it had a whiff of bullshit about it. Worth sharing. https://skepchick.org/2020/02/no-38-of-americans-arent-confusing-the-coronavirus-with-corona-beer/
144,"Javier Tebas on coronavirus: ""No, we haven't considered calling off (El Cl찼sico). Since Sunday we've had a coronavirus commission, we have an action plan for different cities, playing games behind closed doors or not. The situation in Madrid doesn't require calling off the game"""
145,"No s챕 si ser찼 positivo. S챠 que s챕 que puede haber m찼s casos as챠 y que ser찼n consecuencia directa de la incompetencia y cobard챠a supinas de 챕ste gobierno ""pro-gre-sis-ta"" que pone en cuarentena a los espa챰oles...y deja pasar a todos los dem찼s https://www.elmundo.es/ciencia-y-salud/salud/2020/02/11/5e42010221efa0b7338b45a9.html #Coronavirus"
146,Breaking | German state minister reported to have committed suicide over economic worries due to coronavirus 
147,Boris Johnson's government is reportedly furious with China and believes it could have 40 times more coronavirus cases than it claims https://www.businessinsider.com/coronavirus-boris-johnsons-government-reportedly-furious-with-china-2020-3?utmSource=twitter&amp;utmContent=referral&amp;utmTerm=topbar&amp;referrer=twitter v챠a @businessinsider
148,A new report from the Carlos III Health Institute has found that nearly twice as many men as women have died from the coronavirus in Spain. @el_pais spoke to several health experts to find out why men appear to be more vulnerable to the disease
149,An Arizona man died and Nigeria reported cases of chloroquine poisoning after Trump endorse the antimalarial drug Morocco plans to use to fight the novel #COVID??9morocco #COVID2019
150,"The former Real Madrid president Lorenzo Sanz is in a serious condition in hospital with suspected coronavirus, reports Granada-based newspaper Ideal "
151,"A collection of articles and other resources on the Coronavirus (Covid-19) outbreak, including clinical reports, management guidelines, and commentary. All Journal content related to the Covid-19 pandemic is freely available. https://www.nejm.org/coronavirus?cid=DM88311&amp;bid=165326853"
152,징Un genocida narcisista! Coronavirus: anger in Germany at report Trump seeking exclusive vaccine deal 
