Tweet,Cluster
Dr. Birx: The U.S. has one of the lowest #Coronavirus death rates in the world! ,2
"trump just said the coronavirus is going to be ""gone some day. It's going to be gone gone."" He'll be gone gone before it.",0
Your Direct Primary Care Daily!  Thanks to @dcexaminer #cdnrfg #cdnimm,1
Coronavirus making earnings calls into the weirdest reboot of MTV Cribs. Here is Netflix’s CEO reporting from what appears to be a child’s bedroom: ,1
The Trump administration promised that by March 28th – nearly a month ago – there would be over 27 million coronavirus tests conducted in the U.S. It’s April 21st and we haven’t reached 5 million. Where are the tests? ,0
Our Nation's love and prayers remain with our fellow citizens who have lost a cherished friend or family member to the Coronavirus. ,1
"Ben's Chili Bowl, the iconic half-smoke joint that has survived riots, is crumbling under corona. They’re one of many businesses that couldn’t get a PPP loan",1
We interrupt the corona virus nonsense for VERY IMPORTANT PICS of Bubba in sunglasses. ,3
"#UNEXCUSABLE: Taking his cues from the Trump Crime Family, ⁦after receiving intel briefings ⁦⁦⁦Senator Burr⁩ sold stock &amp; advised donors to do so before coronavirus crashed the markets. Aside from being amoral, it’s illegal. #InsiderTrading  04",0
"SCOOP w/@attackerman Palantir has helped HHS develop a new coronavirus data system called HHS Protect Now, which Dr. Birx gets briefed from each evening. The president is relying on the data to determine when and where to reopen the economy. ",5
AG Barr Says He May Go After Governors Who Persist on Authoritarian Coronavirus Lockdown Orders  via @gatewaypundit,1
"Organizers have canceled Las Vegas' Life Is Beautiful festival over COVID-19, marking the first major fall festival to be shut down over the coronavirus ",1
"mi tio hiso una obra de arte sobe del coronavirus y quiso comparir su processo con ustedes #primerimpactoencasa my uncle made art revolving around the coronavirus and wanted to share it with y’all. his explanation is in spanish, but I would appreciate if y’all shared &amp; rt! pic.twitter.com/ECZSDhPnEn",1
"BREAKING NEWS: With only 2% of their 5,500 beds used for #COVID19 - UPMC says feared coronavirus surge ‘simply hasn’t happened’, will resume elective surgeries. ⁦ ",1
"Indivisible will be coming out against the Phase 3.5 coronavirus bill tonight As for congressional Democrats, @AOC is still the only member (I know of) to oppose this next relief bill",4
"""Thousands of facilities that try to convince women to continue their pregnancies are being advised on how to apply to a program that helps small businesses cover employee payroll and expenses through the #covid_19 pandemic.""  #abortionisessential",1
Study shows the Trump-endorsed #Coronavirus drug Hydroxychloroquine caused more deaths and few benefits: ,1
Some context on Pres Trump's comments about Harvard giving back money. The school has faced criticism for taking nearly $9 million from the coronavirus aid package when it has a $40 billion endowment. One story on the issue: ,0
"President @realDonaldTrump says Harvard is going to pay back the money they took from the #Coronavirus aid package. ""They have one of the largest endowments in the world, they’re going to pay it back."" ",5
"A couple of weeks ago, @sxbegle reported some doctors were worried too many #Covid19 patients were being put on ventilators. Today a new analysis &amp; @NIH treatment guidelines concur.",5
"But by all means reopen Georgia this Friday, you moron - Governor Brian Kemp, Trump's sycophant! ""3 employees of Tyson Foods plant in Georgia plant dead from coronavirus"" #gapol #KempKILLS #Georgia #TysonFoods ",1
How bad of a decision has @BrianKempGA made by rushing to open up businesses involving physical contact ON FRIDAY? His own advisors are disavowing. #BloodIsOnKempsHands #FuckingMoron ,1
"Tonight! Representative Alexandria Ocasio-Cortez, whose district is arguably one of the most affected by the coronavirus in the United States, joins Rachel Maddow live. 9pm ET on MSNBC ",1
Nurses to be fired for wearing scrubs because it violates uniform policy? This is nuts. Coronavirus In Minnesota: Nurses Say They're Being Threatened With Termination For Wearing Scrubs ,1
Detached Leadership: @GOPLeader condemns speaker Pelosi for playing politics and delaying much-needed coronavirus relief for American workers &amp; businesses. #KAG2020 #AmericaFirst #Dobbs,1
"Ok now this is some serious BS. #Indiana has a test company willing to provide tests to the state so they can increase the number of tests they're doing. @GovHolcomb says ""it's not in the plan"". Its time 4 #AGBarr 2 investigate. @realDonaldTrump @tonykatz",5
LIVE: Press Briefing with Coronavirus Task Force ,7
Michigan abruptly cancels contract with Democratic-linked firms,1
No one: Actually no one: Not even the corona virus: Every girl on planet earth rn: . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . I LoVe ToMiThEe ChAmeLiOn HeS sO HoT,3
New Webex with AT&T customers: Learn how to get a 90-day free offer. Existing customers with Enterprise Agreement can expand their license count by up to 20% for a 90-day period. #businesscontinuity #attemployee,1
“ @FBI concerned about potential for hate crimes during Coronavirus pandemic”  via @joshscampbell,1
Wanna hear a joke about Corona Virus? You probably won’t get it.,3
"BREAKING: Georgia surpasses 20K cases of COVID-19, reaches 818 deaths ",2
"#Bankruptcy has long-term consequences and is not always the solution, but it might be the best option in some situations. Our blog shares tips for those considering their options:  #lawyer",1
9 #USSTheodoreRoosevelt sailors hospitalized as ship’s #coronavirus cases surpass 710. CAPT Crozier was right and acted in the highest traditions of the Naval service in protecting his crew. He MUST be reinstated #ShipAndSailorsFirst #IStandWithCaptCrozier,1
"ABC News' Jon Karl is lying The U.S. has tested more than 4 million people, according to Johns Hopkins coronavirus tracker ",5
Trump is talking about immigration at his press briefing on his coronavirus response to distract us from his botched coronavirus response.,0
Is weeding the equivalent of fiddling while the climate burns due to new gas compressor under construction?#noweymouthcompressor,1
"“China’s Communist Party must face consequences for its role in the origin and spread of the coronavirus,” said Sen. @MarshaBlackburn. A new bill would allow Americans to bring lawsuits against #Beijing for its role in causing the #Pandemic.",1
Both the U.S. Senate and House of Representatives are in recess until May 4 to avoid transmitting the coronavirus. No political party has refused to come back. ,5
"""Harvard's going to pay back the money,"" Trump says at the briefing. The school faced criticism for taking nearly $9 million from the coronavirus aid package when it's backed by a $40 billion endowment.",0
"75 years ago this month, my grandpa Sol Gringlas was liberated from the Nordhausen concentration camp. He's always told me that day -- April 11 -- was like his second birthday. This year, things feel a little different. Hope you'll listen.",1
Members of the Georgia governor’s coronavirus task force had no idea of his plan to remove shelter-in-place orders and reopen the state’s businesses ,1
.@RepDanCrenshaw: Leftists ‘Obsessed‘ with Blaming Trump for Coronavirus  via @BreitbartNews,0
The most vulnerable businesses to #reopenGA are the most threatening. I know as a state-licensed professional pre -#coronavirus is an irresponsible decision by @BrianKempGA Will the state be held accountable that these businesses will be compliant with #coronavirus guidelines?,5
How do you prepare for a 2nd wave of Coronavirus when you have Governors busy preparing for bowling tournaments?,1
#LIVE: White House Coronavirus Task Force Briefing  via @SaraCarterDC,7
Cioccolata looks like a human coronavirus ,1
#JeffreeStarApproved I lost my job due to coronavirus it’s just me and my son. I got out of an abusive relationship not too long ago every since then I’ve been struggling on bills and having groceries please help. It’s just us. $Brebre226 ,4
JUST IN: The Ralph H. Johnson VA Medical Center is treating its first COVID-19 patient:  #chsnews #coronavirus,5
Must Watch Documentary on the Source of the #CCPVirus CCPvirus. Life will never be the same. Dr. Shi Zhengli created the portal for the Corona Virus to travel between humans and bats. pic.twitter.com/Nbgl6HzRez,3
Raise your hand if you would take a coronavirus antibody test right now if you could. 🙋‍♂️🙋‍♂️🙋‍♂️,5
"Birx, asked whether coronavirus could be worse in the fall, something Redfield is worried about: “I don’t know it will be worse.”",1
"President @realDonaldTrump and his administration spared no expense to get New Yorkers the care they need. The USNS Comfort, which was sent to help NY's #Coronavirus response, will soon return to Virginia and be available for other locations, as NY's cases have leveled off! ",5
"CDC Director Robert Redfield says there could be second, possibly worse coronavirus outbreak this winter ",1
"Trump's nominee to oversee the Paycheck Protection Act, Brian Miller, is one of his White House lawyers who served on his impeachment defense. That's not oversight. That's corruption. #TrumpPressConf",0
Health Minister Dr Christopher Tufton reports that five more personnel from his ministry have tested positive for the #coronavirus. The five include #COVID response workers. This moves to six the number of infected Health Ministry employees.,5
#Corporateamerica is treating Americans like garbage. @Costco @Walmart @Target @Lowes @BestBuy @UniversalORL I hope you go bankrupt,1
".@DashaBurns: My coronavirus symptoms were ""mild."" Young people who want to end quarantine — read this first. ",5
"The hits keep on coming against the Trump-touted treatment, now from his own NIH. “Coronavirus Panel Recommends Against Use Of Hydroxychloroquine And Azithromycin : Coronavirus Live Updates : NPR” ",1
"Bill Maher scolds NY Times over coronavirus deaths coverage: We need context, not fear ",5
CDC director warns second wave of coronavirus this winter will likely be worse- we need to prepare NOW. ,1
"""With signs of political and social discord reaching pandemic-era highs, Trump is settling in for a long public feud with governors who don't sufficiently praise him for his response to the coronavirus pandemic... [He] is wholly focused on his press coverage"" - @NicolleDWallace",0
"Director of U.S. agency key to vaccine development leaves role suddenly, amid coronavirus pandemic. Rick Bright, the nation’s leading vaccine development expert, resigns. The Trump’s ruling family will appoint one of their relatives as replacement.?! ",5
"We need to provide immediate and comprehensive relief to consumers in the next coronavirus relief package. @SherrodBrown and I have a plan to stop banks from snatching stimulus checks, pause payments, prevent credit damage, cancel student debt, and more.",1
"At least 75 companies that received coronavirus relief aid were publicly traded, the AP found, and some had market values well over $100 million. Eight companies, or their subsidiaries, received the maximum $10 million possible. ",1
"“There’s a possibility that the assault of the virus on our nation next winter will actually be even more difficult than the one we just went through,” CDC Director Dr. Redfield tells the Washington Post.",1
"Attorney General William Barr Barr called current coronavirus stay-at-home orders ""burdens on civil liberties"" and said that if they continued and lawsuits were brought, the Justice Department would side against states. ",1
States smuggle COVID-19 medical supplies to avoid federal seizures as House probes Jared Kushner #coronavirus ,5
"UPMC says feared coronavirus surge ‘simply hasn’t happened’, will resume elective surgeries ",1
@McDonalds offering free meals from tomorrow through May 5th to healthcare workers and responders. All you have to do is show your badge. #Food #EssentialWorkers,1
LIVE UPDATES: Coronavirus in the Mid-South: Mayor Strickland will NOT allow Memphis businesses to reopen May 1 ,1
The latest #coronavirus lie: “we need more testing capability to reopen” ,5
CDC director warns second wave of coronavirus this winter is likely to be worse ,1
"Robert Redfield, the director of the CDC, said that a second wave of coronavirus infections in winter could be even more devastating to the healthcare system ",1
"BREAKING: Senate approves new coronavirus aid bill with nearly $500 billion total for businesses, hospitals and testing - AP",5
"From an MD who was told to intubate a #COVIDー19 patient who was speaking on his cellphone--not breathless, not struggling. Why not CPAP or nasal cannula instead of #ventilators in more cases:",1
Good for $SNAP! Giant move in after-hours trading from their earnings call. Interesting to see how #coronavirus affects different businesses. @nicklarson67 you happy?? #stockmarket ,1
“We commit ourselves to fight like hell for the living.”,1
"After recovering from coronavirus, @RandPaul just dropped a bomb from the Senate floor: ""No amount of bailout dollars will stimulate an economy that is being strangled by quarantine. It is not a lack of money that plagues us but a lack of commerce.""",1
"CDC director warns second wave of coronavirus might be ""more difficult"" ",1
A Detroit Nurse Was Fired After Speaking Out About Conditions In Her Hospital During The Coronavirus Outbreak. Now She’s Fighting Back.  via @LoopEmma,5
"New: A nurse in Detroit was fired after speaking about working conditions inside her hospital. Since then, horrifying accounts from others at the hospital have emerged. Now, the nurse has filed a whistleblower lawsuit.  #coronavirus #covid19",5
Let’s be clear here: it’s less that fossil fuel corporations are a “pillar of the economy” than that fossil fuel donors are the central pillar of Republican fundraising; hence the party’s creepy-crawling obedience to fossil fuel interests.,1
BREAKING: CDC director warns second wave of coronavirus this winter is likely to be worse - WaPo,1
“The Justice Department will consider taking legal action against governors who continue to impose stringent rules for dealing with the coronavirus that infringe on constitutional rights.” ,1
"Serious question for those of you that are in the “we need to expand testing” camp. Do you expect testing to be compulsory? Because I have no plans to get tested for #coronavirus, and in a nation of 330 million people, it’s safe to assume I’m not the only one.",4
Arundhati Roy tells @mehdirhasan that India’s right wing govt. is dehumanizing Muslims and its Prime Minister is exploiting the coronavirus to incite Islamophobia. #coronavirus #Islamophobic #ArundhatiRoy,1
Now we know why Trump hasn’t gotten it. @realDonaldTrump Testicles may make men more vulnerable to coronavirus: study ,0
Disgraced televangelist Jim Bakker pleads for help after being forced to stop selling fake coronavirus cures: ‘Don’t let me file for bankruptcy’ ,1
"Let’s talk about the covid timeline vis à vis Bill Barr, the human coronavirus wreaking havoc on the Justice Dept &amp; our republic. [THREAD] ",1
"FLASHBACK On March 4, 1981, the NY Times was explicitly describing states' rights as "" a discredited code word for racial discrimination"" #coronavirus #federalism ",1
"Five different coronavirus clusters in Lyon County, Kansas -- including one meat processing plant, one church: ",1
"NEW: In interview w/me, CDC director warns second wave of coronavirus is likely to be worse because it will coincide with flu season. Look how overwhelmed health system is in this 1st covid-19 wave. Now imagine 2 respiratory outbreaks at the same time. ",5
"VOTE NOW: Should Sean SUE THE NY TIMES After Blaming Fox News, Hannity for Coronavirus Death ",5
"""A malaria drug widely touted by Trump for treating the new coronavirus showed no benefit in a large analysis of its use in U.S. veterans hospitals. There were more deaths among those given hydroxychloroquine versus standard care, researchers reported."" ",0
"MISSION #Snellville #GA Family man and Army Vet Anthro with minor in the home needs basics: utilities, gas, water, food . Income down due to #coronavirus shutdown, expenses up and cant afford all. Can we support this vet? He is a good man. $1027 ",1
".@SenWarren and I have a message for Congress: $1,200 isn't enough to keep Americans afloat. We need comprehensive relief for consumers in the next coronavirus stimulus package. You can read our six proposals here👇 ",4
"Another half trillion dollar #coronavirus bill!? The government can't replace an entire economy. URGENT governors end the shutdown that is destroying our economy, undermining the public health and weakening the Constitution. @realDonaldTrump",5
"Millions of Americans who watch the White House #Coronavirus briefings see quite a different @realDonaldTrump than the Democrats and the media portray. They see a leader who is obviously in command of thousands of facts, figures and details!",0
"""Michigan Democratic governor Gretchen Whitmer has handed over control of the state’s new contact-tracing operation to one of her own campaign vendors and one of the left’s biggest technology firms."" Via @FreeBeacon:",1
"Today I'm announcing a new giveaway! I know people all over the world have been deeply affected by quarantine and the Corona virus. Being stuck at home sucks (even worse for those deemed ""essential workers""!) and a lot of us have turned to building gunpla as a way to cope. 1/.. pic.twitter.com/Tll0alKwYB",3
"Due to #COVID19 aka #Coronavirus I’m sending the first 400 people to like &amp; retweet this $400 through CashApp, PP, Apple Pay #, Venmo or Chime 🏦 ( drop pay methods ) ",5
Kentucky sees highest spike in coronavirus cases after protests against lockdown ,2
Gretchen Whitmer paid Dem consulting firm NGP VAN $5k to help get her elected last year. She just gave same firm a contract for statewide coronavirus canvassing. ,1
Fauci reassures 7-year-old child that the Tooth Fairy is not at risk of getting infected with coronavirus ,1
No money for election protection Nothing for the post office None for states and cities No oversight No limits on fossil fuel bailouts No food stamps This is a pivotal moment & our leaders continue to bail out corporations instead of the PEOPLE.,1
"1 in 62 people in New York City have tested positive for coronavirus, 1 in 235 people in New York City have been hospitalized for coronavirus, and 1 in 582 people in New York City have died from coronavirus, according to data from the city and the US Census Bureau.",5
Director of key U.S. vaccine agency leaves role suddenly amid coronavirus. ,1
The corona virus is God punishing us for this ,3
"Every second, Jeff Bezos increases his wealth by $2,489. Every minute, he makes $149,353. Every hour, he pulls in $8,961,187. Every day, he denies Amazon workers 100% paid sick leave. We stand in solidarity with Amazon workers on strike. ",1
Man dies from COVID-19 after dismissing coronavirus stay-at-home order as a ‘political ploy’ ,1
Help @TheDemCoalition spread this ad about the #CoronavirusLiar far and wide!,1
"#COVID19 Vaccine Design Earns Israeli Scientist a US Patent: According to Prof. Gershoni, the vaccine would reconstruct the coronavirus’s RBM, a tiny feature of its “spike” protein, the major surface protein that it uses to bind to a receptor ",1
"Career politicians, both in Washington and around the world, have one instinct in an emergency: more government bureaucracy. That approach globally made the Coronavirus worse. President @realDonaldTrump has done the opposite—slashing red tape to speed up our national response.",1
The White House pledged more than two weeks ago to cover coronavirus treatment for uninsured Americans — but the administration still doesn't have a plan for how to do it. ,5
We are closely watching @Facebook’s decision to remove events and pages used to organize protests.,1
Incredibly odd timing for this. Tips welcome. ,1
HOPE TRUMP AND COMPANY SEE THIS: Main flipped FBI witness Rick Gates doesn't even have to do his 45-day show-up-on-the-weekend prison now. 😂,0
Wealthy village in California testing all residents for coronavirus  coronavirus#.Xp9EC97yVJE.twitter @bludiamondcap @iventlabs,1
#AlleganyCounty up to 32 cases of the #coronavirus. @SPECNewsBuffalo.,2
"#BREAKING NEWS: UPMC is going to begin testing all patients coming in for procedures, even if they're asymptomatic.",1
"The coronavirus is far deadlier than official numbers show. A New York Times analysis of 11 countries found that at least 28,000 more people have died in the last month than is reflected in official Covid-19 death counts for those nations. ",2
Holy shit balls. ,1
#WyomingCounty up to 53 cases of the #coronavirus. @SPECNewsBuffalo.,2
"During the #Coronavirus crisis, Second Lady @KarenPence reminds Americans that we must also focus on our mental health. Read her op-ed below and be sure to join her on Thursday at 8:00 pm ET for Team Trump Online!",0
AG Barr warned that the DOJ could take legal action against governors who continue to enforce restrictions in their states to combat the coronavirus if they “impinge on either civil rights or on national commerce” ,1
"10 cases --> 237 in just over 2 weeks. ""Roughly 237 confirmed cases in the area of Grand Island, Nebraska are tied to the JBS meat plant there. That's a worrisome trend — just over two weeks ago, on April 3, only 10 JBS workers had tested positive.""",2
"Immigrants are on the front lines of the coronavirus response, putting their lives at risk to make sure our communities are fed, healthy, and safe. The Trump administration needs to stop using this pandemic as cover to implement their xenophobic agenda. ",0
"Democrats cave: Nothing for states or cities, nothing for election protection or the post office, no oversight, no limits on fossil fuel bailouts, no food stamps. They got some testing - somehow that’s a GOP concession! - but no contact tracing.",1
"Well, @HillaryClinton husband @BillClinton are the ones who created #welfareform back in the 90s which made it so U have to work to get SNAP anyway. I was on #foodstamps on and off for over 20 yrs. I know the system!🙄😑",4
"UPDATE: UPMC says across the system they have 118 people hospitalized with #COVID19, 130 people discharged who were hospitalized. Only 2% of hospital beds, 8% ICU beds, 7% ventilators are being used for coronavirus patients. @KDKA",5
This is a lie. The coronavirus-infected Cuomo was outside with his family at his *second* house last Sunday violating his Gov brother's non-essential travel rules and distancing rules. Cuomo got into a flight with his neighbor on the street. There is a police report. CNN lies ,5
THEORY: Joe Biden is never gonna debate Donald Trump in person. His campaign knows his brain is hummus and Trump would destroy him. They’ll claim Joe is vulnerable to coronavirus and agree to only one debate that Joe can do from home so he can read note cards from his staff.,0
Biden wasn't in charge of the nation's Corona Virus response. ,3
"A malaria drug widely touted by Trump for treating coronavirus showed no benefit in a large analysis of its use in U.S. veterans hospitals. 👉There were more deaths among those given hydroxychloroquine versus standard care, researchers reported. ",0
"The coronavirus crisis is not an unpredictable, rare catastrophe, according to Nassim Nicholas Taleb. He, like Bill Gates, Laurie Garrett, and others, predicted it earlier this year. ",1
Oxford University will begin human trials of its coronavirus vaccine on Thursday ,1
"Honestly, bringing up the #ImmigrationBan now strikes me as a distraction. You can't pretend this is for the #coronavirus when you're encouraging everyone to open up as quickly as possible. Disappointing to see a chance for national unity neglected to play petty politics.",1
"People like Lt. Gov. Dan Patrick, who say ""There are more important things than living,"" should be forced to lead by example. Proceed, Lt. Governor. Get out there and give the coronavirus a big ole' economy-saving hug.",5
Sooooo the Senate Intelligence Committee said What?? #coronavirus #,1
"HEHEHE, CORONA VIRUS, SHIT IS REAL ( PRE ORDERS AVAILABLE NOW ) pic.twitter.com/b5pNFU0oVl",3
Tennessee woman gets coronavirus after bragging about not social distancing ,1
Coronavirus: UK 'throwing everything' at developing vaccine - BBC News ,1
"In front of White House, nurses read names of colleagues killed by #coronavirus ",5
"WHO says all available evidence points to animal origin for coronavirus, but it's still unclear how it jumped to humans. Agency refutes rumour that virus originated in a Wuhan lab, says there's no facts to support that assertion. ",1
"A malaria drug widely touted by Trump for treating the new coronavirus showed no benefit in a large analysis of its use in U.S. veterans hospitals. There were more deaths among those given #hydroxychloroquine versus standard care, researchers reported",0
"Interactions between volunteers enlisted by Kushner and vendors has alarmed some FEMA employees, as some volunteers have used their personal Gmails, sometimes not copying gov't addresses—leading some vendors to question the authenticity of the outreach.",1
Florida hosted spring break & winter solstice during the #coronavirus pandemic. Despite having a large elderly population &amp; never locking down their state—hospital bed space has INCREASED &amp; they maintain a very low death rate. Time to #ReopenAmerica!,5
"Science moves quickly, especially during pandemics. New guidelines on #COVID19 treatment from @NIH",5
Only solution to the coronavirus ,1
"Massachusetts data on coronavirus deaths in the state: average age of death 81 years old, 97.5% had underlying health conditions: ",2
"Latest from Sweden: moving gradually but seriously toward herd immunity, with modeled 30% infection rate by May 1",1
"NEW: The anti-malaria drug flogged ceaselessly by Trump as a coronavirus treatment didn’t help veterans who got it, according to a new government-funded study ",0
"Almost 50 nurses across the country have already lost their lives due to #COVID19. Yet, months into the crisis nurses still have to take to the streets just to get the bare minimum protection against the virus. #ProtectNurses",5
"When asked about President Trump's immigration order, Governor Baker responded: ""I'm opposed to the decision that the president made. I'm opposed to the order. It doesn't make any sense and I don't think it makes us any safer.""",0
BREAKING: FDA approves first at-home coronavirus test ,1
"Dr. Nisar Quraishi, RIP. He saw patients as recently as this month at @NYULangone Trinity before contracting #coronavirus himself. He passed away on April 11 from #COVID19 complications. ",1
"Maryland GOP governor says Trump's call to halt all immigration during coronavirus pandemic is “a distraction from what’s really going on"" ",0
DEVELOPING: Conservative leaders ask AG Barr to intervene to protect the constitutional liberties of citizens being abused by #coronavirus lockdowns! @realDonaldTrump @JudicialWatch ,1
"We can't join together for Earth Day tomorrow, but we can still raise hell.",1
"Oh my god... ""With Ohio reporting some 12,919 coronavirus cases as of Monday, the prison system now accounts for more than 20% of the state's cases."" We are an indecent nation killing ourselves with our indecency. #FreeThemAll614",2
Nurses read names of colleagues who died of the coronavirus in front of the White House ,5
"So, remember when I said there was 4 proteins from the HIV strain, spliced with the #coronavirus ? I have the proof after they got in ",4
Democrat State Rep. Who Survived Coronavirus Says ‘We Need To Unite’ Behind President Trump. ,0
Via the @AP: A malaria drug widely touted by President Trump for treating the coronavirus showed no benefit in a large analysis of its use in U.S. veterans hospitals. There were more deaths among those given hydroxychloroquine versus standard care. ,0
"The coronavirus has hit the Hasidic community in NY with devastating force, killing influential religious leaders and tearing through large, tight-knit families at a rate that the data suggest may exceed that of other ethnic or religious groups. ",1
Hawley says protecting ‘every job’ should be new focus in coronavirus response  #FoxNews,1
The American people support President @realDonaldTrump's immigration policy! Nearly 80% of Americans agree with temporarily pausing immigration as we confront the coronavirus crisis. ,5
Ilhan Omar calls for an end to 'all deportations' during coronavirus 'crisis'  via @FoxNews,1
"Google, Rihanna, and the Schusterman Family Foundation are donating $100 million to the hardest-hit consumers from the coronavirus ",1
Why does the United States with 4% of the global population have 25% of the Coronavirus deaths? It’s almost like someone completely screwed up!,5
"So if you're ready for some more bad news, here ya go",1
"Nurses protest at White House over lack of protective gear, read aloud the names of 50 nurses who have died of coronavirus ",1
WARREN: ‘Nobody to Blame’ but President Trump for Coronavirus Pandemic Response ,0
"All public and private schools in Massachusetts will remain closed through the end of the year amid coronavirus pandemic, Gov. Baker confirms. ",1
"Yes, Netflix is now a new member of the Motion Picture Association.",1
"NCRI: A Report on the Spread of Coronavirus in Alborz Province According to reports from inside the regime, until April 18, 2020, the number of buried people in the city of Karaj in Alborz province due to the #coronavirus, was over 1100. #Iran",5
"🚨🚨🚨 Missouri just filed a federal lawsuit against China, the CCP, the Wuhan virology labs, and other related parties. This is a huge deal. First attempt in the world by a government to hold the Chinese legally liable. #ChinaLiedPeopleDied",1
"A malaria drug widely touted by Pres Trump for treating the new coronavirus showed no benefit in a large analysis of its use in US veterans hospitals. There were more deaths among those given hydroxychloroquine versus standard care, researchers reported. ",0
The best way to avoid a second wave of pandemic infection is to have a parade in the most coronavirus-crippled and densely populated city in the United States ,5
"This is an outrageous scandal with plenty of blame to go around. Small businesses are closing after not getting these #coronavirus loans because corporations drained the fund. Corporations should issue stock to raise money, not take from small businesses. ",1
Let’s get this straight: -Democrats want you to stay in your house to combat #coronavirus. -Democrats also believe we should have open borders during the coronavirus crisis! Seriously? President Trump’s decision to temporarily halt immigration is common sense. ,0
