ObservationDate,Country.Region,Confirmed,Deaths,Recovered
03/18/2020,Bahrain,256,1,88
03/19/2020,Bahrain,278,1,100
03/20/2020,Bahrain,285,1,100
03/21/2020,Bahrain,305,1,125
03/22/2020,Bahrain,332,2,149
03/23/2020,Bahrain,377,2,164
03/08/2020,Bangladesh,3,0,0
03/09/2020,Bangladesh,3,0,0
03/10/2020,Bangladesh,3,0,0
03/11/2020,Bangladesh,3,0,0
03/12/2020,Bangladesh,3,0,0
03/13/2020,Bangladesh,3,0,0
03/14/2020,Bangladesh,3,0,0
03/15/2020,Bangladesh,5,0,0
03/16/2020,Bangladesh,8,0,2
03/17/2020,Bangladesh,10,0,3
03/18/2020,Bangladesh,14,1,3
03/19/2020,Bangladesh,17,1,3
03/20/2020,Bangladesh,20,1,3
03/21/2020,Bangladesh,25,2,3
03/22/2020,Bangladesh,27,2,3
03/23/2020,Bangladesh,33,3,5
03/17/2020,Barbados,2,0,0
03/18/2020,Barbados,2,0,0
03/19/2020,Barbados,5,0,0
03/20/2020,Barbados,5,0,0
03/21/2020,Barbados,6,0,0
03/22/2020,Barbados,14,0,0
03/23/2020,Barbados,17,0,0
02/28/2020,Belarus,1,0,0
02/29/2020,Belarus,1,0,0
03/01/2020,Belarus,1,0,0
03/02/2020,Belarus,1,0,0
03/03/2020,Belarus,1,0,0
03/04/2020,Belarus,6,0,0
03/05/2020,Belarus,6,0,0
03/06/2020,Belarus,6,0,0
03/07/2020,Belarus,6,0,0
03/08/2020,Belarus,6,0,0
03/09/2020,Belarus,6,0,1
03/10/2020,Belarus,9,0,3
03/11/2020,Belarus,9,0,3
03/12/2020,Belarus,12,0,3
03/13/2020,Belarus,27,0,3
03/14/2020,Belarus,27,0,3
03/15/2020,Belarus,27,0,3
03/16/2020,Belarus,36,0,3
03/17/2020,Belarus,36,0,3
03/18/2020,Belarus,51,0,5
03/19/2020,Belarus,51,0,5
03/20/2020,Belarus,69,0,5
03/21/2020,Belarus,76,0,15
03/22/2020,Belarus,76,0,15
03/23/2020,Belarus,81,0,22
02/04/2020,Belgium,1,0,0
02/05/2020,Belgium,1,0,0
02/06/2020,Belgium,1,0,0
02/07/2020,Belgium,1,0,0
02/08/2020,Belgium,1,0,0
02/09/2020,Belgium,1,0,0
02/10/2020,Belgium,1,0,0
02/11/2020,Belgium,1,0,0
02/12/2020,Belgium,1,0,0
02/13/2020,Belgium,1,0,0
02/14/2020,Belgium,1,0,0
02/15/2020,Belgium,1,0,0
02/16/2020,Belgium,1,0,0
02/17/2020,Belgium,1,0,1
02/18/2020,Belgium,1,0,1
02/19/2020,Belgium,1,0,1
02/20/2020,Belgium,1,0,1
02/21/2020,Belgium,1,0,1
02/22/2020,Belgium,1,0,1
02/23/2020,Belgium,1,0,1
02/24/2020,Belgium,1,0,1
02/25/2020,Belgium,1,0,1
02/26/2020,Belgium,1,0,1
02/27/2020,Belgium,1,0,1
02/28/2020,Belgium,1,0,1
02/29/2020,Belgium,1,0,1
03/01/2020,Belgium,2,0,1
03/02/2020,Belgium,8,0,1
03/03/2020,Belgium,13,0,1
03/04/2020,Belgium,23,0,1
03/05/2020,Belgium,50,0,1
03/06/2020,Belgium,109,0,1
03/07/2020,Belgium,169,0,1
03/08/2020,Belgium,200,0,1
03/09/2020,Belgium,239,0,1
03/10/2020,Belgium,267,0,1
03/11/2020,Belgium,314,3,1
03/12/2020,Belgium,314,3,1
03/13/2020,Belgium,559,3,1
03/14/2020,Belgium,689,4,1
03/15/2020,Belgium,886,4,1
03/16/2020,Belgium,1058,5,1
03/17/2020,Belgium,1243,10,1
03/18/2020,Belgium,1486,14,31
03/19/2020,Belgium,1795,21,31
03/20/2020,Belgium,2257,37,1
03/21/2020,Belgium,2815,67,263
03/22/2020,Belgium,3401,75,263
03/23/2020,Belgium,3743,88,401
03/23/2020,Belize,1,0,0
03/16/2020,Benin,1,0,0
03/17/2020,Benin,1,0,0
03/18/2020,Benin,2,0,0
03/19/2020,Benin,2,0,0
03/20/2020,Benin,2,0,0
03/21/2020,Benin,2,0,0
03/22/2020,Benin,2,0,0
03/23/2020,Benin,5,0,0
03/06/2020,Bhutan,1,0,0
03/07/2020,Bhutan,1,0,0
03/08/2020,Bhutan,1,0,0
03/09/2020,Bhutan,1,0,0
03/10/2020,Bhutan,1,0,0
03/11/2020,Bhutan,1,0,0
03/12/2020,Bhutan,1,0,0
03/13/2020,Bhutan,1,0,0
03/14/2020,Bhutan,1,0,0
03/15/2020,Bhutan,1,0,0
03/16/2020,Bhutan,1,0,0
03/17/2020,Bhutan,1,0,0
03/18/2020,Bhutan,1,0,0
03/19/2020,Bhutan,1,0,0
03/20/2020,Bhutan,2,0,0
03/21/2020,Bhutan,2,0,0
03/22/2020,Bhutan,2,0,0
03/23/2020,Bhutan,2,0,0
03/11/2020,Bolivia,2,0,0
03/12/2020,Bolivia,2,0,0
03/13/2020,Bolivia,3,0,0
03/14/2020,Bolivia,10,0,0
03/15/2020,Bolivia,10,0,0
03/16/2020,Bolivia,11,0,0
03/17/2020,Bolivia,11,0,0
03/18/2020,Bolivia,12,0,0
03/19/2020,Bolivia,12,0,0
03/20/2020,Bolivia,15,0,0
03/21/2020,Bolivia,19,0,0
03/22/2020,Bolivia,24,0,0
03/23/2020,Bolivia,27,0,0
03/05/2020,Bosnia and Herzegovina,2,0,0
03/06/2020,Bosnia and Herzegovina,2,0,0
03/07/2020,Bosnia and Herzegovina,3,0,0
03/08/2020,Bosnia and Herzegovina,3,0,0
03/09/2020,Bosnia and Herzegovina,3,0,0
03/10/2020,Bosnia and Herzegovina,5,0,0
03/11/2020,Bosnia and Herzegovina,7,0,0
03/12/2020,Bosnia and Herzegovina,11,0,0
03/13/2020,Bosnia and Herzegovina,13,0,0
03/14/2020,Bosnia and Herzegovina,18,0,0
03/15/2020,Bosnia and Herzegovina,24,0,0
03/16/2020,Bosnia and Herzegovina,25,0,0
03/17/2020,Bosnia and Herzegovina,26,0,2
03/18/2020,Bosnia and Herzegovina,38,0,2
03/19/2020,Bosnia and Herzegovina,63,0,2
03/20/2020,Bosnia and Herzegovina,89,0,2
03/21/2020,Bosnia and Herzegovina,93,1,2
03/22/2020,Bosnia and Herzegovina,126,1,2
03/23/2020,Bosnia and Herzegovina,132,1,2
01/23/2020,Brazil,0,0,0
02/26/2020,Brazil,1,0,0
02/27/2020,Brazil,1,0,0
02/28/2020,Brazil,1,0,0
02/29/2020,Brazil,2,0,0
03/01/2020,Brazil,2,0,0
03/02/2020,Brazil,2,0,0
03/03/2020,Brazil,2,0,0
03/04/2020,Brazil,4,0,0
03/05/2020,Brazil,4,0,0
03/06/2020,Brazil,13,0,0
03/07/2020,Brazil,13,0,0
03/08/2020,Brazil,20,0,0
03/09/2020,Brazil,25,0,0
03/10/2020,Brazil,31,0,0
03/11/2020,Brazil,38,0,0
03/12/2020,Brazil,52,0,0
03/13/2020,Brazil,151,0,0
03/14/2020,Brazil,151,0,0
03/15/2020,Brazil,162,0,0
03/16/2020,Brazil,200,0,1
03/17/2020,Brazil,321,1,2
03/18/2020,Brazil,372,3,2
03/19/2020,Brazil,621,6,2
03/20/2020,Brazil,793,11,2
03/21/2020,Brazil,1021,15,2
03/22/2020,Brazil,1593,25,2
03/23/2020,Brazil,1924,34,2
03/09/2020,Brunei,1,0,0
03/10/2020,Brunei,1,0,0
03/11/2020,Brunei,11,0,0
03/12/2020,Brunei,11,0,0
03/13/2020,Brunei,37,0,0
03/14/2020,Brunei,40,0,0
03/15/2020,Brunei,50,0,0
03/16/2020,Brunei,54,0,0
03/17/2020,Brunei,56,0,0
03/18/2020,Brunei,68,0,0
03/19/2020,Brunei,75,0,0
03/20/2020,Brunei,78,0,1
03/21/2020,Brunei,83,0,2
03/22/2020,Brunei,88,0,2
03/23/2020,Brunei,91,0,2
03/08/2020,Bulgaria,4,0,0
03/09/2020,Bulgaria,4,0,0
03/10/2020,Bulgaria,4,0,0
03/11/2020,Bulgaria,7,1,0
03/12/2020,Bulgaria,7,1,0
03/13/2020,Bulgaria,23,1,0
03/14/2020,Bulgaria,41,2,0
03/15/2020,Bulgaria,51,2,0
03/16/2020,Bulgaria,52,2,0
03/17/2020,Bulgaria,67,2,0
03/18/2020,Bulgaria,92,2,0
03/19/2020,Bulgaria,94,3,0
03/20/2020,Bulgaria,127,3,0
03/21/2020,Bulgaria,163,3,3
03/22/2020,Bulgaria,187,3,3
03/23/2020,Bulgaria,201,3,3
03/10/2020,Burkina Faso,1,0,0
03/11/2020,Burkina Faso,2,0,0
03/12/2020,Burkina Faso,2,0,0
03/13/2020,Burkina Faso,2,0,0
03/14/2020,Burkina Faso,2,0,0
03/15/2020,Burkina Faso,3,0,0
03/16/2020,Burkina Faso,15,0,0
03/17/2020,Burkina Faso,15,0,0
03/18/2020,Burkina Faso,20,1,0
03/19/2020,Burkina Faso,33,1,0
03/20/2020,Burkina Faso,40,1,0
03/21/2020,Burkina Faso,64,2,5
03/22/2020,Burkina Faso,75,4,5
03/23/2020,Burkina Faso,99,4,5
03/20/2020,Cabo Verde,1,0,0
03/21/2020,Cabo Verde,3,0,0
03/22/2020,Cabo Verde,3,0,0
03/23/2020,Cabo Verde,3,0,0
01/27/2020,Cambodia,1,0,0
01/28/2020,Cambodia,1,0,0
01/29/2020,Cambodia,1,0,0
01/30/2020,Cambodia,1,0,0
01/31/2020,Cambodia,1,0,0
02/01/2020,Cambodia,1,0,0
02/02/2020,Cambodia,1,0,0
02/03/2020,Cambodia,1,0,0
02/04/2020,Cambodia,1,0,0
02/05/2020,Cambodia,1,0,0
02/06/2020,Cambodia,1,0,0
02/07/2020,Cambodia,1,0,0
02/08/2020,Cambodia,1,0,0
02/09/2020,Cambodia,1,0,0
02/10/2020,Cambodia,1,0,0
02/11/2020,Cambodia,1,0,0
02/12/2020,Cambodia,1,0,1
02/13/2020,Cambodia,1,0,1
02/14/2020,Cambodia,1,0,1
02/15/2020,Cambodia,1,0,1
02/16/2020,Cambodia,1,0,1
02/17/2020,Cambodia,1,0,1
02/18/2020,Cambodia,1,0,1
02/19/2020,Cambodia,1,0,1
02/20/2020,Cambodia,1,0,1
02/21/2020,Cambodia,1,0,1
02/22/2020,Cambodia,1,0,1
02/23/2020,Cambodia,1,0,1
02/24/2020,Cambodia,1,0,1
02/25/2020,Cambodia,1,0,1
02/26/2020,Cambodia,1,0,1
02/27/2020,Cambodia,1,0,1
02/28/2020,Cambodia,1,0,1
02/29/2020,Cambodia,1,0,1
03/01/2020,Cambodia,1,0,1
03/02/2020,Cambodia,1,0,1
03/03/2020,Cambodia,1,0,1
03/04/2020,Cambodia,1,0,1
03/05/2020,Cambodia,1,0,1
03/06/2020,Cambodia,1,0,1
03/07/2020,Cambodia,1,0,1
03/08/2020,Cambodia,2,0,1
03/09/2020,Cambodia,2,0,1
03/10/2020,Cambodia,2,0,1
03/11/2020,Cambodia,3,0,1
03/12/2020,Cambodia,3,0,1
03/13/2020,Cambodia,5,0,1
03/14/2020,Cambodia,7,0,1
03/15/2020,Cambodia,7,0,1
03/16/2020,Cambodia,7,0,1
03/17/2020,Cambodia,33,0,1
03/18/2020,Cambodia,35,0,1
03/19/2020,Cambodia,37,0,1
03/20/2020,Cambodia,51,0,1
03/21/2020,Cambodia,53,0,1
03/22/2020,Cambodia,84,0,1
03/23/2020,Cambodia,87,0,2
03/06/2020,Cameroon,1,0,0
03/07/2020,Cameroon,1,0,0
03/08/2020,Cameroon,2,0,0
03/09/2020,Cameroon,2,0,0
03/10/2020,Cameroon,2,0,0
03/11/2020,Cameroon,2,0,0
03/12/2020,Cameroon,2,0,0
03/13/2020,Cameroon,2,0,0
03/14/2020,Cameroon,2,0,0
03/15/2020,Cameroon,2,0,0
03/16/2020,Cameroon,4,0,0
03/17/2020,Cameroon,10,0,0
03/18/2020,Cameroon,10,0,0
03/19/2020,Cameroon,13,0,0
03/20/2020,Cameroon,20,0,0
03/21/2020,Cameroon,27,0,0
03/22/2020,Cameroon,40,0,0
03/23/2020,Cameroon,56,0,2
01/26/2020,Canada,1,0,0
01/27/2020,Canada,1,0,0
01/28/2020,Canada,2,0,0
01/29/2020,Canada,2,0,0
01/30/2020,Canada,3,0,0
01/31/2020,Canada,3,0,0
02/01/2020,Canada,4,0,0
02/02/2020,Canada,4,0,0
02/03/2020,Canada,4,0,0
02/04/2020,Canada,4,0,0
02/05/2020,Canada,5,0,0
02/06/2020,Canada,5,0,0
02/07/2020,Canada,7,0,0
02/08/2020,Canada,7,0,0
02/09/2020,Canada,7,0,0
02/10/2020,Canada,7,0,0
02/11/2020,Canada,7,0,0
02/12/2020,Canada,7,0,1
02/13/2020,Canada,7,0,1
02/14/2020,Canada,7,0,1
02/15/2020,Canada,7,0,1
02/16/2020,Canada,7,0,1
02/17/2020,Canada,8,0,1
02/18/2020,Canada,8,0,1
02/19/2020,Canada,8,0,1
02/20/2020,Canada,8,0,1
02/21/2020,Canada,9,0,3
02/22/2020,Canada,9,0,3
02/23/2020,Canada,9,0,3
02/24/2020,Canada,10,0,3
02/25/2020,Canada,11,0,3
02/26/2020,Canada,11,0,3
02/27/2020,Canada,13,0,6
02/28/2020,Canada,14,0,6
02/29/2020,Canada,20,0,6
03/01/2020,Canada,24,0,6
03/02/2020,Canada,27,0,6
03/03/2020,Canada,30,0,6
03/04/2020,Canada,33,0,6
03/05/2020,Canada,37,0,6
03/06/2020,Canada,49,0,6
03/07/2020,Canada,54,0,8
03/08/2020,Canada,64,0,8
03/09/2020,Canada,76,1,8
03/10/2020,Canada,79,1,8
03/11/2020,Canada,108,1,8
03/12/2020,Canada,117,1,8
03/13/2020,Canada,193,1,8
03/14/2020,Canada,196,1,8
03/15/2020,Canada,250,1,8
03/16/2020,Canada,415,4,9
03/17/2020,Canada,478,5,9
03/18/2020,Canada,657,8,9
03/19/2020,Canada,800,9,9
03/20/2020,Canada,943,12,9
03/21/2020,Canada,1278,19,10
03/22/2020,Canada,1465,21,10
03/23/2020,Canada,2088,25,0
03/21/2020,Cape Verde,1,0,0
03/22/2020,Cape Verde,0,0,0
03/13/2020,Cayman Islands,1,0,0
03/14/2020,Cayman Islands,1,0,0
03/15/2020,Cayman Islands,1,0,0
03/15/2020,Central African Republic,1,0,0
03/16/2020,Central African Republic,1,0,0
03/17/2020,Central African Republic,1,0,0
03/18/2020,Central African Republic,1,0,0
03/19/2020,Central African Republic,1,0,0
03/20/2020,Central African Republic,3,0,0
03/21/2020,Central African Republic,3,0,0
03/22/2020,Central African Republic,3,0,0
03/23/2020,Central African Republic,3,0,0
03/19/2020,Chad,1,0,0
03/20/2020,Chad,1,0,0
03/21/2020,Chad,1,0,0
03/22/2020,Chad,1,0,0
03/23/2020,Chad,1,0,0
03/10/2020,Channel Islands,1,0,0
03/03/2020,Chile,1,0,0
03/04/2020,Chile,1,0,0
03/05/2020,Chile,4,0,0
03/06/2020,Chile,4,0,0
03/07/2020,Chile,4,0,0
03/08/2020,Chile,8,0,0
03/09/2020,Chile,8,0,0
03/10/2020,Chile,13,0,0
03/11/2020,Chile,23,0,0
03/12/2020,Chile,23,0,0
03/13/2020,Chile,43,0,0
03/14/2020,Chile,61,0,0
03/15/2020,Chile,74,0,0
03/16/2020,Chile,155,0,0
03/17/2020,Chile,201,0,0
03/18/2020,Chile,238,0,0
03/19/2020,Chile,238,0,0
03/20/2020,Chile,434,0,6
03/21/2020,Chile,537,0,6
03/22/2020,Chile,632,1,8
03/23/2020,Chile,746,2,11
01/23/2020,Colombia,0,0,0
03/06/2020,Colombia,1,0,0
03/07/2020,Colombia,1,0,0
03/08/2020,Colombia,1,0,0
03/09/2020,Colombia,1,0,0
03/10/2020,Colombia,3,0,0
03/11/2020,Colombia,9,0,0
03/12/2020,Colombia,9,0,0
03/13/2020,Colombia,13,0,0
03/14/2020,Colombia,22,0,0
03/15/2020,Colombia,34,0,0
03/16/2020,Colombia,54,0,0
03/17/2020,Colombia,65,0,1
03/18/2020,Colombia,93,0,1
03/19/2020,Colombia,102,0,1
03/20/2020,Colombia,128,0,1
03/21/2020,Colombia,196,0,1
03/22/2020,Colombia,231,2,3
03/23/2020,Colombia,277,3,3
03/15/2020,Congo (Brazzaville),1,0,0
03/16/2020,Congo (Brazzaville),1,0,0
03/17/2020,Congo (Brazzaville),1,0,0
03/18/2020,Congo (Brazzaville),1,0,0
03/19/2020,Congo (Brazzaville),3,0,0
03/20/2020,Congo (Brazzaville),3,0,0
03/21/2020,Congo (Brazzaville),3,0,0
03/22/2020,Congo (Brazzaville),3,0,0
03/23/2020,Congo (Brazzaville),4,0,0
03/11/2020,Congo (Kinshasa),1,0,0
03/12/2020,Congo (Kinshasa),1,0,0
